NAME,OCS_NAME,LONG_NAME 
HoodChocMlk 14oz,HoodChocMlk 14oz,Hood Chocolate Milk (14oz)
,Hood FF Skm Mlk 14oz,Hood Fat Free Skim Milk (14oz)
HoodVitmnDWhlMlk14oz,HoodVitmnDWhlMlk14oz,Hood Vitamin D Whole Milk (14oz)
,Berkley Jensen Honey 48oz,Berkley & Jensen All Natural Honey (48oz)
GoGirl SFEngyDrink 12oz,GoGirl SFEngyDrink 12oz,Go Girl Sugar Free Energy Drink (12oz)
,Hood 1% LF Mlk 14oz,Hood 1% Lowfat Milk (14oz)
PrairieFrm FFSkmMlk 8oz,PrairieFrm FFSkmMlk 8oz,Prairie Farms Fat Free Skim Milk (8oz)
Kars Hny Pnuts 3.5oz,,Kars Honey Peanuts (3.5oz)
,First St CrmChsPkt 1oz/100,"First Street Cream Cheese Packets (1oz, Box of 100)"
Haas Chs Danish 4oz,,Haas Cheese Danish (4oz)
Utz BBQ Corn Chip 1oz,,Utz BBQ Corn Chip (1oz)
LehighVly 2% RFMlk 16oz,,Lehigh Valley 2% Reduced Fat Milk (16oz)
LehighVly Choc Mlk 16oz,,Lehigh Valley Chocolate Milk (16oz)
LehighVly Whl Mlk 16oz,,Lehigh Valley Whole Milk (16oz)
,BumbleBWhtAlbacoreTunaWtr3oz/3ct,"Bumble Bee Solid White Albacore Tuna in Water (3oz, Pack of 3)"
Dean FFSkimMlkChug 16oz,,Deans Milk Chug Fat Free Skim (16oz)
Dean 2%RF Mlk Chug 16oz,,Deans Milk Chug 2% Reduced Fat (16oz)
Dean LF Choc Chug 16oz,,Deans Milk Chug Low Fat Chocolate (16oz)
Arose Choc Mlk 10oz,,Alpenrose Chocolate Milk (10oz)
,2% Milk .5pt,Generic 2% Milk (.5pt)
,Skim Milk .5pt,Generic Skim Milk (.5pt)
,Whole Milk .5pt,Generic Whole Milk (.5pt)
Dean Whl Mlk Chug 16oz,,Deans Milk Chug Whole (16oz)
Dean MaltdChocChug 16oz,,Deans Milk Chug Malted Chocolate (16oz)
Dean Ult Choc Chug 16oz,,Deans Milk Chug Ultimate Chocolate (16oz)
QkrChwyPBChocChip .84oz,QkrChwyPBChocChip .84oz,Quaker Chewy Peanut Butter Chocolate Chip Bar (.84oz)
,Lil' Mlk 2% .5pt,Lil' Milk 2% (.5pt)
Crystal 2% Mlk 10oz,Crystal 2% Mlk 10oz,Crystal 2% Reduced Fat Milk (10oz)
CrystalCoolCow2%Mlk12oz,CrystalCoolCow2%Mlk12oz,Crystal Cool Cow 2% Milk (12oz)
CrystalCoolVitmnD 12oz,,Crystal Cool Cow Vitamin D Milk (12oz)
Crystal VitmnD Mlk 10oz,Crystal VitmnD Mlk 10oz,Crystal Vitamin D Milk (10oz)
Vnm EngyDeathAdd 16.9oz,,Venom Energy Death Adder Fruit Punch (16.9oz)
CrystalCoolChocMlk 12oz,,Crystal Cool Cow Chocolate Lite Milk (12oz)
Crystal1%LFChocMlk10oz,,Crystal 1% Low Fat Chocolate Milk (10oz)
,Hood Whl Mlk Crm 400ct,Hood Whole Milk Creamer (400ct)
KashCruhChocCarm 1.59oz,KashCruhChocCarm 1.59oz,Kashi GoLean Crunchy Chocolate Caramel (1.59oz)
KashCruhChocAlmd 1.59oz,,Kashi GoLean Crunchy Chocolate Almond (1.59oz)
KashiGLChocPntCsp1.76oz,KashiGLChocPntCsp1.76oz,Kashi GoLean Chocolate Peanut Crisp (1.76oz)
Vitners HotCruhKurl 1oz,,Vitner's Hot Crunchy Cheese Kurls (1oz)
LudwickOtmlRsnCkie4.5oz,,Ludwick's Oatmeal Raisin Cookie #9057 (4.5oz)
Ludwick PBChpCkie 4.5oz,,Ludwick's Peanut Butter Chip Cookie #9056 (4.5oz)
LudwickChocChkCkie4.5oz,,Ludwick's Chocolate Chunk Cookie #9055 (4.5oz)
Pizzarias ChsPzaChp 1oz,,Pizzarias Cheese Pizza Chip (1oz)
Host ChocChpMfn 3.75oz,,Hostess Chocolate Chip Muffins (3.75oz)
PacificOrgHzlnutChoc8oz,PacificOrgHzlnutChoc8oz,Pacific Organic Hazelnut Chocolate (8oz)
Entmn ChocChp Ckie 4oz,,Entenmanns Chocolate Chip Cookies (4oz)
BalanceGldChocPB1.76oz,BalanceGldChocPB1.76oz,Balance Gold Chocolate Peanut Butter Bar (1.76oz)
Dove Mlk Choc Bar 1.3oz,,Dove Milk Chocolate Bar (1.3oz)
,Horizon Org 1% LF Mlk 1gal,Horizon Organic 1% Low Fat Milk (1gal)
DMadisonFrostDnut3.25oz,,Dolly Madison Chocolate Frosted Donut Gems (3.25oz)
Redline XtrGrp Engy 8oz,,Redline Xtreme Grape Energy (8oz)
Redline PchMgo Engy 8oz,,Redline Peach Mango Energy (8oz)
Redline TrplBryEngy 8oz,,Redline Triple Berry Energy (8oz)
Redline XtrTrplBry 8oz,,Redline Xtreme Triple Berry Energy (8oz)
PBarPPlusRSChocPB2.46oz,,Powerbar ProteinPlus Reduced Sugar Chocolate Peanut Buttter Bar (2.46oz)
,Hood 1% SimplySmart Mlk .5gal,Hood 1% Simply Smart Milk (.5gal)
,Hood FF SimplySmart Mlk .5gal,Hood Fat Free Simply Smart Milk (.5gal)
Darigold 2% Mlk 16oz,Darigold 2% Mlk 16oz,Darigold 2% Milk (16oz)
Darigold 1% LFChoc 16oz,Darigold 1% LFChoc 16oz,Darigold 1% Lowfat Chocolate Milk (16oz)
Darigold Moc 16oz,,Darigold Mocha Lowfat Milk (16oz)
Darigold SBerry 16oz,,Darigold Lowfat Strawberry Milk (16oz)
HnyNutCheerioCrlBr1.4oz,HnyNutCheerioCrlBr1.4oz,Honey Nut Cheerios Milk n' Cereal Bar (1.4oz)
Muscle MlkLtVanCm 14oz,,Muscle Milk Nutritional Shake Light Vanilla Creme (14oz)
MuscleMlkChocMalt 14oz,,Muscle Milk Nutritional Shake Chocolate Malt (14oz)
Brisk Pch Grn T 20oz,,Lipton Brisk Peach Green Iced Tea (20oz)
,Eldorado SwsChocAlmd 2oz/24,"Eldorado Swiss Chocolate Almond Packet (2oz, Box of 24)"
,Eldorado Choc RBerry 2oz/24,"Eldorado Chocolate Raspberry Packet (2oz, Box of 24)"
,Eldorado SwsChocAlmd DC 2oz/24,"Eldorado Swiss Chocolate Almond Decaf Packet (2oz, Box of 24)"
,Eldorado ChocRBerry DC 2oz/24,"Eldorado Chocolate Raspberry Decaf Packet (2oz, Box of 24)"
3 Mskt ChocBrwne 1.26oz,,3 Musketeers Generation Max Chocolate Brownie (1.26oz)
RicosChedChsPcorn 1.1oz,RicosChedChsPcorn 1.1oz,Ricos Cheddar Cheese Popcorn (1.1oz)
Darigold OldF Choc 16oz,,Darigold Old Fashioned Chocoalte Milk (16oz)
,Kraft Ched Chunk Chs 2lb,Kraft Extra Sharp Cheddar Chunk Cheese (2lb)
,Hrshy SBerry Milkshake 12oz,Hersheys Strawberry MilkShake (12oz)
,Lavazza Blue PremHotChoc 2lb,Lavazza Blue Premium Hot Chocolate (2lb)
,LavazzaBlue Prem Soluble Mlk 2lb,Lavazza Blue Premium Soluble Milk (2lb)
,Heluva Good String Chs 1oz,Heluva Good String Cheese (1oz)
Pnut Chews Mlk Choc 2oz,,Just Born Peanut Chews Milk Chocolatey (2oz)
NOS CherOutEngy 16oz,,NOS Cherried Out Energy Drink (16oz)
Oak Farm Whl Mlk 16oz,Oak Farm Whl Mlk 16oz,Oak Farm Whole Milk (16oz)
Oak Farm Choc Mlk 16oz,Oak Farm Choc Mlk 16oz,Oak Farm Chocolate Milk (16oz)
SwtLeafMntHnyGrnGLS16oz,SwtLeafMntHnyGrnGLS16oz,Sweet Leaf Mint & Honey Green Tea GLASS BOTTLE (16oz)
NewmansDkChocBar 2.25oz,,Newmans Own Dark Chocolate Bar (2.25oz)
QkrChwyDkChocCher .84oz,,Quaker Chewy Low Fat 90 Calorie Dark Chocolate Cherry Bar (.84oz)
PureOrgChocBrwneBr1.7oz,PureOrgChocBrwneBr1.7oz,Pure Organic Chocolate Brownie Bar (1.7oz)
AltBkng PB Ckie 4.25oz,AltBkng PB Ckie 4.25oz,Alternative Baking Peanut Butter Persuasion Cookie (4.25oz)
Host Bry&Chs Danish 4oz,,Hostess Breakfast Classic Berry & Cheese Danish (4oz)
HyDrive Lmn Lime 15.5oz,,HyDrive Energy Lemon Lime (15.5oz)
HyDrive CitBurst 15.5oz,,HyDrive Energy Citrus Burst (15.5oz)
LaysMnchChsPBCrkr1.42oz,LaysMnchChsPBCrkr1.42oz,Lays Munchies Cheese Peanut Butter Cracker (1.42oz)
,Fruit2O Wtr Peach 16oz,Fruit2O Water Peach (16oz)
PFarm Gfish Ched .75oz,PFarm Gfish Ched .75oz,Pepperidge Farm Goldfish Cheddar Cheese (.75oz)
Herr Hny Chs Curls 1oz,Herr Hny Chs Curls 1oz,Herrs Honey Cheese Curls (1oz)
Lucy Oatml Ckie 1.25oz,,Lucys Oatmeal Cookie (1.25oz)
Lucy Sugr Ckie 1.25oz,,Lucys Sugar Cookie (1.25oz)
Nanas DblChocCkie 3.5oz,,Nana's Double Chocolate Cookie (3.5oz)
NewmansDkCarmCup 1.2oz,,Newmans Own Dark Chocolate Caramel Cup (1.2oz)
TTK CherChscake Pie 4oz,,Tastykake Cherry Cheesecake Pie (4oz)
,SoDelicious FrnhVanCocoMlk 16oz,SoDelicious French Vanilla Coconut Nut Milk Creamer (16oz)
Goya Peach 9.6oz,,Goya Peach (9.6oz)
SwtLeafMntHnyGrnTCN16oz,SwtLeafMntHnyGrnTCN16oz,Sweet Leaf Mint & Honey Green Tea CAN (16oz)
Rovas CspRiceChoc 1.8oz,,Rovas Crisp Rice Chocolate Bar (1.8oz)
Rovas AlmdChocBar 1.8oz,,Rovas Almond Chocolate Bar (1.8oz)
EASMplxChocChocBr2.65oz,,EAS Myoplex Chocolate Chocolate Chip Bar (2.65oz)
PureFit ChocBrwneBr 2oz,,PureFit Chocolate Brownie Bar (2oz)
EASMplxCkie&CrmBr2.65oz,,EAS Myoplex Cookies & Cream Bar (2.65oz)
EASMplxChocMntBr 2.65oz,,EAS Myoplex Chocolate Mint Bar (2.65oz)
EASMplxChocPB Br 2.65oz,,EAS Myoplex Chocolate Peanut Butter Bar (2.65oz)
Ferrara MlkChocAlmd 5oz,,Ferrara Pan Milk Chocolate Covered Almonds (5oz)
,Big Train Choc Syr 25.4oz,Big Train Chocolate Syrup (25.4oz)
,Big Train Choc Mint Syr 25.4oz,Big Train Chocolate Mint Syrup (25.4oz)
,NewEngland Peach Coblr 2.5oz/24,"New England Peach Cobbler (2.5oz, Box of 24)"
,Otis Spnk ChocChipCkieDgh 20lb,Otis Spunkmeyer Chocolate Chip Cookie Dough 58800 (20lb)
,OtisWhtChocMcdemiaNutCkieDgh20lb,Otis Spunkmeyer White Chocolate Macademia Nut Cookie Dough 58807 (20lb)
,NewEngland Choc RBerry 2.5oz/24,"New England Chocolate Raspberry (2.5oz, Box of 24)"
,NewEngland SwsChocAlmd 2.5oz/24,"New England Swiss Chocolate Almond (2.5oz, Box of 24)"
,zzzRudis Hny Wheat Bread,zzzRudi's Honey Wheat Bread
Shamrocker LFChoc 8oz,,Shamrock Farms Low Fat Chocolate Shamrocker (8oz)
Luna WhtChocMac 1.69oz,Luna WhtChocMac 1.69oz,Luna White Chocolate Macadamia Bar (1.69oz)
Plntrs HnyRst Pnuts 6oz,Plntrs HnyRst Pnuts 6oz,Planters Honey Roast Peanuts (6oz)
Combo Ched Chs Crkr 7oz,,Combos Cheddar Cheese Cracker (7oz)
Combo ChedChsPretz 7oz,,Combos Cheddar Cheese Pretzel (7oz)
Herr BBQ Pot Stix 1oz,,Herrs BBQ Potato Stix (1oz)
Swt Leaf Pch T GLS 16oz,Swt Leaf Pch T GLS 16oz,Sweet Leaf Peach Tea GLASS (16oz)
Honest T Oola Pch 16oz,Honest T Oola Pch 16oz,Honest Tea Peach Oo-la-long Glass Bottle (16oz)
DMadisonGlzHnyBun3.75oz,,Dolly Madison Glazed Honey Bun (3.75oz)
Haas SBerry Chs Dan 4oz,,Haas Strawberry Cheese Danish (4oz)
,Kraft Philly SBerry CrmChs 8oz,Kraft Philadelphia Strawberry Cream Cheese (8oz)
,KraftPhilly1/3GrdnVegCrmChs 8oz,Kraft Philadelphia Garden Vegetable 1/3 Less Fat Cream Cheese (8oz)
,Hunts Van/Choc Pudding (8oz),Hunts Vanilla/Chocolate Snack Pack Pudding (8oz)
OkedokeChicagoMx1.125oz,,Jays Okedoke Chicago Mix Caramel & Cheese Popcorn (1.125oz)
KashGLRollChocPB 1.94oz,,Kashi GoLean Roll Chocolate Peanut (1.94oz)
KashGLRolChocTrtl1.94oz,,Kashi GoLean Roll Chocolate Turtle (1.94oz)
Otis ChocChocChpMfn 4oz,Otis ChocChocChpMfn 4oz,Otis Spunkmeyer Chocolate Chocolate Chip Muffin (4oz)
Cookie Dgh Bites 3.1oz,Cookie Dgh Bites 3.1oz,Cookie Dough Bites (3.1oz)
Steaz BryEngyFuel 12oz,Steaz BryEngyFuel 12oz,Steaz Berry Energy Organic Fuel (12oz)
PurProtnShkFrstChoc11oz,PurProtnShkFrstChoc11oz,Pure Protein Shake Frosty Chocolate (11oz)
,Parmalat 2% Mlk 32oz,Parmalat Non-Refrigerator 2% Milk (32oz)
Herr KtlePotChp 1.125oz,Herr KtlePotChp 1.125oz,Herrs Kettle Cooked Potato Chips (1.125oz)
Herr Bkd Chs Curls 1oz,Herr Bkd Chs Curls 1oz,Herrs Baked Cheese Curls (1oz)
GldnGramChocMrsh 1.06oz,,Golden Grahams Chocolate Marshmallow Treat (1.06oz)
,Otis Spnk PB Ckie Dgh 20lb,Otis Spunkmeyer Peanut Butter Cookie Dough 58805 (20lb)
Muscle Mlk Choc 17oz,,Muscle Milk Nutritional Shake Chocolate (17oz)
Muscle Mlk Ban Cm 17oz,,Muscle Milk Nutritional Shake Banana Creme (17oz)
Muscle Mlk Van Cm 17oz,,Muscle Milk Nutritional Shake Vanilla Creme (17oz)
OhYeah! ChocMlkshk 14oz,,Oh Yeah! Nutritional Shake Chocolate Milkshake (14oz)
OhYeah! Ckie & Cm 14oz,,Oh Yeah! Nutritional Shake Cookies & Creme (14oz)
QBelMlkChocWfrRoll .9oz,,Q Bel Milk Chocolate Wafer Rolls (.9oz)
M&M Gen Max Ckie 1.15oz,,M&M Generation Max Cookies (1.15oz)
,Lactaid FF Mlk 1qt,Lactaid Fat Free Milk (1qt)
BluDimndHabBBQAlmd1.5oz,BluDimndHabBBQAlmd1.5oz,Blue Diamond Bold Habanero BBQ Almonds (1.5oz)
GmasSftBakChpChoc1.22oz,,Grandmas Soft Bakes Chip Chocolate Cookie (1.22oz)
HyDrive Trpl Bry 15.5oz,HyDrive Trpl Bry 15.5oz,HyDrive Energy Triple Berry (15.5oz)
HyDriveBlueRBerry15.5oz,,HyDrive Energy Blue Raspberry (15.5oz)
,First St Hny Pkt 200ct,First Street Honey Packets (Box of 200)
Dean 1% SBerry Mlk 16oz,,Deans 1% Strawberry Milk (16oz)
DivineMntDkChocBr 3.5oz,,Divine Mint Dark Chocolate Bar (3.5oz)
DaleJr GlzHnyBun 4.75oz,,Dale Jr Jumbo Glazed Honey Bun (4.75oz)
Ritz BitsJpnoChs 2.75oz,,Ritz Bits Jalapeno Cheese (2.75oz)
DivineCruhMlkChoc 1.4oz,,Divine Crunchy Milk Chocolate Bar (1.4oz)
Hiland Skim Mlk 16oz,,Hiland Skim Milk (16oz)
Larabar Joc Choc 1.7oz,,Larabar Jocalat Chocolate Bar (1.7oz)
LarabarJocChocCof 1.7oz,,Larabar Jocalat Chocolate Coffee Bar (1.7oz)
LarabarJocChocMnt 1.7oz,,Larabar Jocalat Chocolate Mint Bar (1.7oz)
FFarms Crytl FFMlk 10oz,,Foster Farms Crystal Fat Free Milk (10oz)
AlkBkng Snickddle4.25oz,,Alternative Baking Snickerdoodle Cookie (4.25oz)
SurfSwtGummyBear .9oz,,Surf Sweets Gummy Bears (.9oz)
Divine70%DkChocBr 3.5oz,,Divine 70% Dark Chocolate Bar (3.5oz)
GiveEngyABerryPom16oz,,Give Energy Acai Blueberry Pomegrante (16oz)
,Silk Soymlk Lt Orig .5gal,Silk Soymilk Light Original (.5gal)
Ruger ChocWafer 2.625oz,Ruger ChocWafer 2.625oz,Ruger Chocolate Wafer (2.625oz)
zzz100CalHMaidCinRol .74oz,,zzzNabisco 100 Calorie Honey Maid Cinnamon Roll Thin Crisps (.74oz)
NanasOatmlRsnCkie 3.5oz,NanasOatmlRsnCkie 3.5oz,Nana's Oatmeal Raisin Cookie (3.5oz)
DivineFrtNutDkChoc3.5oz,,Divine Fruit and Nut Dark Chocolate Bar (3.5oz)
Swt Leaf Dt Pch T 16oz,,Sweet Leaf Diet Peach Tea (16oz)
Endangrd DkChocBr 1.4oz,,Endangered Species Organic Dark Chocolate Bar (1.4oz)
GiveEngyLtPearAplC 16oz,,Give Energy Lite Pear Apple Cherry (16oz)
EnjoyLifChocChpCkie1oz,,Enjoy Life Soft Baked Chocolate Chips Cookies (1oz)
Nanas ChocChpCkie 3.5oz,,Nana's Chocolate Chip Cookie (3.5oz)
PBarPPlusChocCsp 2.75oz,PBarPPlusChocCsp 2.75oz,Powerbar ProteinPlus Chocolate Crisp (2.75oz)
,DairyPure 2% RF Mlk 1gal,Dairy Pure 2% Reduced Fat Milk (1gal)
ClifBlderCkieNCrm 2.4oz,ClifBlderCkieNCrm 2.4oz,Clif Builders Cookies 'n Cream Bar (2.4oz)
Rutters WhlChocMlk 16oz,,Rutter's Premium Whole Chocolate Milk (16oz)
KtleCrinkleBBQ 1.375oz,KtleCrinkleBBQ 1.375oz,Lays Kettle Chips Crinkle Cut Spice Rubbed BBQ (1.375oz)
HrshyMlkChocDrops 2.1oz,HrshyMlkChocDrops 2.1oz,Hersheys Milk Chocolate Drops (2.1oz)
Sula-NatSFChocMntTof3oz,,Sula Natura Sugar Free Chocolate Mint Toffee (3oz)
Hrshy Milk Duds 3oz,Hrshy Milk Duds 3oz,Hersheys Milk Duds (3oz)
Cookie Dgh Bites 1.75oz,Cookie Dgh Bites 1.75oz,Cookie Dough Bites (1.75oz)
Cookies'NCrmBites 1.6oz,,Cookies 'N Cream Bites (1.6oz)
,Torani Wht Choc Syrup GL 25.4oz,Torani White Chocolate Syrup GL (25.4oz)
ChocChpCkieDghMin1.75oz,,Chocolate Chip Cookie Dough Miniatures (1.75oz)
Endangrd DkChocBr 3oz,,Endangered Species Organic Dark Chocolate Bar (3oz)
NanasNoGlutenChoc 3.5oz,,Nana's No Gluten Chocolate Cookie (3.5oz)
,DannonActiviaSBerry/PchYogrt 4oz,Dannon Activia Strawberry/Peach Yogurt (4oz)
,FRS Health Engy Apct Nec 11.5oz,FRS Healthy Energy Apricot Nectarine (11.5oz)
MaizetosChsTort 1.75oz,,Maizetos Nacho Cheese Tortilla Chips (1.75oz)
EndangrdDkChocOran1.4oz,,Endangered Species Organic Dark Chocolate and Orange Bar (1.4oz)
EnsureCrmMlkChocShk 8oz,,Ensure Original Creamy Milk Chocolate Shake (8oz)
Barbaras Snk Van 1oz,Barbaras Snk Van 1oz,Barbaras Snackimals Vanilla Cookie (1oz)
KindDkChocCherCash1.4oz,KindDkChocCherCash1.4oz,Kind Plus Dark Chocolate Cherry Cashew Bar (1.4oz)
NuGoCspCatMntChoc1.75oz,,NuGo Crispy Cat Organic Mint Chocolate Bar (1.75oz)
SurfSwtSrBryBear 2.75oz,SurfSwtSrBryBear 2.75oz,Surf Sweets Sour Berry Bears (2.75oz)
SSpireDkChocCBery1.19oz,,SunSpire Dark Chocolate Cranberries (1.19oz)
Gabi Ckie Asst 2.5oz,,Gabi Cookie Assortment (2.5oz)
,Intnal Dlite Choc Crm 288ct,International Delight Chocolate Cream (Box of 288)
Yoplait GreekHnyVan 6oz,Yoplait GreekHnyVan 6oz,Yoplait Greek Yogurt Honey Vanilla (6oz)
Wawa Pch Iced T 16oz,,Wawa Peach Iced Tea (16oz)
LunaProtnCkieDgh 1.59oz,LunaProtnCkieDgh 1.59oz,Luna Protein Chocolate Chip Cookie Dough (1.59oz)
HariboGummiGoldBear5oz,HariboGummiGoldBear5oz,Haribo Gummi Gold-Bears (5oz)
MonsterZeroSugar16oz,MonsterZeroSugar16oz,Monster Energy Zero Sugar (16oz)
Herr Ktle RF PotChp 1oz,Herr Ktle RF PotChp 1oz,Herrs Kettle Cooked Reduced Fat Potato Chips (1oz)
JellyBellyCocoDip 2.8oz,,Jelly Belly Coconut Chocolate Dips (2.8oz)
JellyBellyOranDip 2.8oz,,Jelly Belly Orange Chocolate Dips (2.8oz)
JellyBellyCherDip 2.8oz,,Jelly Belly Very Cherry Chocolate Dips (2.8oz)
HyDriveGrpFusion 15.5oz,,HyDrive Energy Grape Fusion (15.5oz)
VitnersHotWingBluChs1oz,,Vitner's Hot Wings & Bleu Cheese Potato Chips (1oz)
,zzzAlpha Baking Chs Mfn 4.5oz,zzzAlpha Baking Cheese Muffin (4.5oz)
SnikiddyChedChsFries1oz,SnikiddyChedChsFries1oz,Snikiddy All Natural Baked Cheddar Cheese Fries (1oz)
JustinDkChocPBCup 1.4oz,JustinDkChocPBCup 1.4oz,Justins Dark Chocolate Peanut Butter Cups (1.4oz)
BuzzDkWhtChocChp2.1oz,,Buzz Strong Dark & White Chocolate Chip Coffee Cookie (2.1oz)
HBC Monster Ckie 5oz,,Hudson Baking Company Monster Cookie (5oz)
AndesChocMntChpCkie 2oz,,Andes Chocolate Mint Chip Cookies (2oz)
,Wawa Skim Mlk .5pt,Wawa Skim Milk (.5pt)
Wawa Whl Mlk .5pt,Wawa Whl Mlk .5pt,Wawa Whole Milk (.5pt)
EnjoyLifSnickdldCkie1oz,,Enjoy Life Soft Baked Snickerdoodle Cookies (1oz)
,AmIns Wht Choc Carm Cap 2lb,American Instant White Chocolate Caramel Cappuccino (2lb)
,H&B Hny Lmn T 20ct,Higgins & Burke Honey Lemon Tea (Box of 20)
BigAZ Chsburgr 9.65oz,BigAZ Chsburgr 9.65oz,Big AZ Cheeseburger #1443 (9.65oz)
,H&B Wht Pch T 20ct,Higgins & Burke White Peach Tea (Box of 20)
,AmIns Peach Slush Mx 1gal,American Instant Peach Slush Mix (1gal)
,MPrkr Choc Carm 2.25oz/18,"Mother Parkers Chocolate Caramel (2.25oz, Box of 18)"
,Bakers Choice Hot Choc 2lb,Bakers Choice Hot Chocolate (2lb)
,AmIns Mint Choc Cap 2lb,American Instant Mint Chocolate Cappuccino (2lb)
Wise Hny BBQ 1oz,,Wise Honey BBQ (1oz)
GFlake Chs Puff 1oz,,Golden Flake Golden Cheese Puff (1oz)
Chocolove Dk Choc 1.3oz,Chocolove Dk Choc 1.3oz,Chocolove XOXOX Strong Dark Chocolate (1.3oz)
BCanyonChptleAdzuk1.5oz,BCanyonChptleAdzuk1.5oz,Boulder Canyon Chipotle Cheese Rice & Adzuki Chip (1.5oz)
MFrsh ChocChp Mfn 3.2oz,MFrsh ChocChp Mfn 3.2oz,Mrs. Freshleys Chocolate Chip Muffin (3.2oz)
Blairs HabKtleChp 1.5oz,,Blair's Death Rain Habanero Kettle Cooked Potato Chips (1.5oz)
,Silk Org Van Soy Mlk .5gal,Silk Organic Vanilla Soy Milk (.5gal)
EnjoyLifeRcmlkCru1.12oz,EnjoyLifeRcmlkCru1.12oz,Enjoy Life Ricemilk Crunch Chocolate Bar (1.12oz)
zzzBoomChocoBoomBr1.4oz,,zzzBoom Choco Boom Ricemilk Bar (1.4oz)
Larabar PBChocChp 1.6oz,Larabar PBChocChp 1.6oz,Larabar Peanut Butter Chocolate Chip Bar (1.6oz)
Lucy ChocChpCkie 1.25oz,Lucy ChocChpCkie 1.25oz,Lucys Chocolate Chip Cookie (1.25oz)
LateJlyBitSzChedChs 1oz,LateJlyBitSzChedChs 1oz,Late July Bite Size Cheddar Cheese Cracker (1oz)
Disney Peach Csp .28oz,,Disney Pluto Peach Fruit Crisps (.28oz)
DpRvr Mesq BBQ Chp 2oz,DpRvr Mesq BBQ Chp 2oz,Deep River Mesquite BBQ Kettle Chips (2oz)
BlairsChedKtleChp 1.5oz,BlairsChedKtleChp 1.5oz,Blair's Death Rain Cheddar Kettle Cooked Potato Chips (1.5oz)
NanasNoGlutenLmn 3.5oz,NanasNoGlutenLmn 3.5oz,Nana's No Gluten Lemon Cookie (3.5oz)
KlgSpecKChocPBBr 1.59oz,KlgSpecKChocPBBr 1.59oz,Kellogg Special K Chocolate Peanut Butter Protein Bar (1.59oz)
KashTLCHnyTst7Br 1.4oz,,Kashi TLC Honey Toasted 7-Grain Granola Bar (1.4oz)
Fuze Peach Mango 16.9oz,Fuze Peach Mango 16.9oz,Fuze Peach Mango (16.9oz)
,WhiteBear Choc RBerry 2oz/20,"White Bear Chocolate Raspberry (2oz, Box of 20)"
,Robinson Whl Mlk 8oz,Robinson Whole Milk (8oz)
,H&B Peach T 20ct,Higgins & Burke Peach Tea (Box of 20)
,SmithBros 2% Mlk .5gal,Smith Brothers 2% Milk (.5gal)
,SmithBros FF Mlk .5gal,Smith Brothers Fat Free Milk (.5gal)
,Jersey Maid 2% Mlk 1gal,Jersey Maid 2% Milk (1gal)
,Jersey Maid FF Mlk 1gal,Jersey Maid Fat Free Milk (1gal)
NOS HP Engy Drk 22oz,,NOS High Performance Energy Drink (22oz)
Cougar ClasPBCkie 3.5oz,Cougar ClasPBCkie 3.5oz,Cougar Mountain Classic Peanut Butter Cookie (3.5oz)
,Barrie Hse Choc RBerry DC 5lb,Barrie House Chocolate Raspberry Decaf (5lb)
,Colonial Choc Mint 5lb,Colonial Chocolate Mint (5lb)
,Colonial Choc Macademia 5lb,Colonial Chocolate Macademia (5lb)
,Barrie Hse Choc RBerry 1.75oz/24,"Barrie House Chocolate Raspberry (1.75oz, Box of 24)"
zzzCougarChocWlnt3.5oz,,zzzCougar Mountain Triple Chocolate Walnut Cookie (3.5oz)
,Muggsys Hot Choc 2lb,Muggsy's Hot Chocolate (2lb)
,Harneys Peach T 1oz/50,"Harney's Peach Tea (1oz, Box of 50)"
,Harneys Peach T 3.5oz/24,"Harney's Peach Tea (3.5oz, Box of 24)"
Arose L-MooChocMlk 16oz,,Alpenrose Little Moo Chocolate Milk (16oz)
Arose L-Moo 2% Mlk 16oz,,Alpenrose Little Moo 2% Milk (16oz)
,Kozy Shack Choc Pudding 4oz,Kozy Shack Chocolate Pudding (4oz)
,Intnal Dlite Wht Choc Moc 288ct,International Delight White Chocolate Mocha (Box of 288)
DtLptPureLeafPeach 16oz,DtLptPureLeafPeach 16oz,Diet Lipton PureLeaf Tea Peach (16oz)
CHB GlzChoc DblDnut 4oz,,Cloverhill Glazed Chocolate Double Donut (4oz)
Babcock RF Mlk 16oz,,Babcock Reduced Fat Milk (16oz)
Babcock RF Mlk 8oz,,Babcock Reduced Fat Milk (8oz)
Babcock Skim Mlk 16oz,,Babcock Skim Milk (16oz)
Babcock Skim Mlk 8oz,,Babcock Skim Milk (8oz)
Babcock Choc Mlk 16oz,,Babcock Chocolate Milk (16oz)
Babcock Choc Mlk 8oz,,Babcock Chocolate Milk (8oz)
HerrBuffBlueChsCurl 1oz,HerrBuffBlueChsCurl 1oz,Herrs Buffalo Blue Cheese Curls (1oz)
Host ChocCm Twinkie 3oz,,Hostess Chocolate Creme Twinkie (3oz)
,Compact Ind Foaming Mlk 1lb,Compact Industries Foaming Milk (1lb)
MoonPieMiniChocTwn2.4oz,,Moon Pie Mini Chocolate Twin Pack (2.4oz)
Fiber 1 Choc PB .82oz,,Fiber One Chocolate Peanut Butter Bar (.82oz)
Fuze Grn T Hny 16.9oz,,Fuze Green Tea Honey & Ginseng (16.9oz)
